Réponse (French),Answer (English),Contenu,(A),(AD),(H),(HD),A,ABS,AD,ALIM,ANAT,ARCH,ART,BOT,ELEM,FRAG,GÉO,H,HD,MQ,NAT,OBJ,PAYS,RADIO,SC,SCÈNE,SEX,SG,VÊT,color_sum,threat_sum,fading_sum,form_sum,kinesthetics_sum
"T’as l’impression là c’est
 un… comment on appelle ça, heu
 merde, un bout de bois super
 grand sur lequel t’es accroché,
 comme si c’était quelqu’un qui
 était accroché à ça parce que ça
 ressemblerait plus à des bras qui
 sont liés derrière, un peu genre
 sorcière qui va être brulée
 Et le fait que ce soit un peu flou ça
 me fait évoquer le côté sorcière
 qui a déjà un peu démarré à brûler
 quoi avec la fumée
 C’est moins réjouissant, je
 préférais Freddy Mercury ˂ Cela dit quand il a la bouche
 fermée, il n’a pas l’air de crier de
 ouf
 Et là sur le même principe, et c’est
 marrant il a fallu que je le retourne
 car je ne le vois pas de ce côté-là,
 je vois vraiment la sorcière","You have the impression there it is
 a…what do we call it, uh
 shit, a great piece of wood
 big one on which you cling,
 as if it were someone who
 was hooked on it because it
 would look more like arms that
 are tied behind, a bit like
 witch who is going to be burned
 And the fact that it's a little blurry
 reminds me of the witch side
 which has already started to burn a little
 what with the smoke
 It's less joyful, I
 preferred Freddy Mercury ˂ That said when he has a mouth
 closed, it does not seem to scream
 phew
 And there on the same principle, and it is
 funny I had to return it
 because I don't see it from that side,
 I really see the witch",(H) / Frag,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"Alors que de ce côté-là, on
 met Freddy Mercury là et tu vois
 plus qlq qui est accroché et ça fait
 plus pole dance, t’as la barre Et je pense que c’est bon oui, il y
 en a des plus inspirantes que
 d’autres","While on this side, we
 put Freddy Mercury there and see
 no longer anyone who is hooked and that's it
 no more pole dance, you have the bar And I think it's good yes, there
 has more inspiring ones than
 others",H / obj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Premier truc, ça me fait
 penser à un vaisseau de star wars
 le Xwing, bon après il n’est pas
 exactement comme ça mais ça
 m’y fait penser","First thing, it makes me
 think of a star wars ship
 the Xwing, well after that it is not
 exactly like that but this
 makes me think of it",Obj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Cette partie-là ça me fait
 penser à un poisson (cache le bas
 de l’image) vu du dessus, avec tu
 sais les poissons qui volent là avec
 du coup des ailes voilà vraiment
 vu du dessus quoi, ce côté genre
 du dessus","This part makes me
 think of a fish (hide the bottom
 of the image) seen from above, with you
 know the fish that fly there with
 so the wings are really there
 seen from above what, this side like
 from above",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Et ça tous ensemble ça me
 fait penser à une clef
 C’est une clef un peu chelou et
 donc ça… c’est juste qu’elle n’est
 pas très longue et t’imagines ca du
 coup (montre) qui est un peu plus
 allongé","And that all together gives me
 looks like a key
 It’s a bit of a weird key and
 so that… it’s just that she’s not
 not very long and you can imagine that
 blow (show) which is a little more
 elongate",Obj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Ça ça me fait penser à une
 tique avec des petites dents, des
 crochets.C’est marrant parce que je ne
 prends que des parts d’images","That reminds me of a
 tick with small teeth,
 hooks.It’s funny because I don’t
 only take parts of images",Ad,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Vraiment dans son
 ensemble là où c’est le plus classe
 ça me refait penser à un rivage, de
 toute façon il y a le côté miroir qui
 fait quand même souvent penser à
 ça.Pour le coup encore plus paisible
 que tout à l’heure. Parce que tout à
 l’heure tu avais, le côté tu
 t’éloignes et tu te rapproches, tu
 vois, t’avais une notion de
 profondeur","Really in his
 together where it’s classiest
 It reminds me of a shore,
 anyway there is the mirror side which
 still often makes one think of
 that. Now even more peaceful
 than just now. Because everything
 the time you had, the side you
 you move away and you come closer, you
 see, you had a notion of
 depth",Pays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Mais là t’as plus
 l’impression que tu es en face d’un
 lac. Ouai, ça me fait plus penser à un lac. Et donc en fait, c’est genre
 de l’eau stagnante.
 Tu vois les trucs comme ça
 (montre), l’eau n’est pas agitée tu
 vois","But there you have more
 the impression that you are facing a
 lake. Yeah, that reminds me more of a lake. And so actually, it's like
 stagnant water.
 You see things like that
 (shows), the water is not agitated you
 see ",Elem,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Mais ça fait quand même
 penser à un lac où genre, il pleut
 quoi, il y a genre des roseaux, des
 trucs comme ça
 Puis là ça fait plus, je sais pas
 quoi, j’arrive à imaginer le reste,
 une plaine ou je sais pas quoi
 (montre le gris foncé)","But it still does
 think of a lake where like, it's raining
 what, there are like reeds,
 stuff like that
 Then it's more, I don't know
 what, I can imagine the rest,
 a plain or I don't know what
 (shows dark gray)",Elem / bot / pays,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"Et là tu vois c’est bizarre,
 parce que tu as le changement de
 couleurs, là c’est genre le ciel
 (montre le haut), et là t’as des
 herbes avec au loin la prairie
 fleurie, des trucs comme ça Une fois encore c’est zoomé en
 fait. (S’éloigne sur sa chaise avec
 la planche, la met à distance de ses
 yeux)
 Parce que c’est vrai qu’on pourrait
 s’amuser à regarder l’image
 encore plus éloignée et auquel
 cas… Je sais pas si tu vois ce que
 je veux dire, je m’éloigne pas
 vraiment mais… si tu changes
 l’échelle en fait","And there you see it’s weird,
 because you have the change of
 colors, it’s like the sky
 (points to the top), and there you have
 grass with meadow in the distance
 flowery, stuff like that Once again it's zoomed in
 do. (Walks away in his chair with
 the board, puts it away from its
 eyes)
 Because it’s true that we could
 have fun looking at the image
 even further away and to which
 case… I don’t know if you see what
 I mean, I'm not walking away
 really but… if you change
 the scale in fact",Pays / Elem / Bot,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"Et ce genre de petites
 loupiotes là, ces éclaircissements,
 ça peut être des trucs de villes en
 fait, carrément, au loin et du coup
 ça a un horizon très lointain et du
 coup ce qui explique que ce soit
 un peu brouillard
 Typiquement ça, ça serait plus
 proche, genre t’arrives, je sais pas
 moi en bateau, t’arrives sur un truc
 comme ça et t’as les lumières de la
 nuit une fois encore Mais c’est marrant parce qu’en
 fait, pour pouvoir imaginer ça, ce
 que j’ai tendance à faire, c’est
 imaginer, enfin compenser le
 blanc en fait. Dans ma tête, tu
 vois, c’est-à-dire que cette partielà n’est pas logique dans cette
 image que je t’évoquais, si on
 essaie d’en faire un tableau heu…
 ça c’est pas logique donc j’occulte
 (pfiou-bruit pour l’enlever avec sa
 main), parce que sinon ça perd un
 peu de ça…(montre là où il remet
 du gris)","And this kind of small
 there, these clarifications,
 it could be city stuff
 done, squarely, in the distance and suddenly
 it has a very distant horizon and
 suddenly which explains why it is
 a little foggy
 Typically that would be more
 close, like you're coming, I don't know
 me on a boat, you arrive at something
 like that and you have the lights of the
 night once again But it's funny because in
 done, to be able to imagine that, that
 what I tend to do is
 imagine, finally compensate for the
 white actually. In my head, you
 see, that is to say that this part is not logical in this
 image that I evoked to you, if we
 try to make a picture of it uh...
 that's not logical so I'm hiding
 (pfiou-noise to remove it with its
 hand), because otherwise it loses a
 little of that…(shows where he puts
 gray)",Obj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"Ça ça fait un pistolet
 (piou-piou bruit de tir) Et ouai non, je sais pas, hum…","That makes a gun
 (peep-peep sound of gunfire) And yeah no, I don’t know, um…",Obj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Ça ça fait plus penser à
 des flammes","That makes me think more of
 flames",Elem,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Et donc tu es sûr, je sais
 pas moi genre heu… un bord de
 heu… une fois encore t’as le côté
 flotte, et t’as le côté forêt qui brûle
 quoi, incendie d’été ou je sais pas
 Du coup-là c’est beaucoup plus
 cohérent parce que c’est la fumée
 qui part de ça","And so you're sure, I know
 not me like uh... an edge of
 uh... once again you have the side
 floats, and you have the forest side that burns
 what, summer fire or I don't know
 So it's much more
 coherent because it's smoke
 who starts from that",Elem / bot,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"Ça, ça peut être une raie
 aussi, avec le truc qui pique mais
 heu… généralement c’est
 beaucoup plus fin quand même,
 mais fin voilà quoi.","That could be a line
 also, with the thing that stings but
 uh… generally it’s
 much finer though,
 but that's what.",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Et là c’est un monsieur
 grincheux avec un œil, un gros pif,
 une bouche et un menton et pas
 beaucoup de cheveux sur le
 caillou Ouai je pense que c’est bon","And there it is a gentleman
 grumpy with one eye, a big nose,
 a mouth and a chin and not
 lots of hair on the
 pebble Yeah I think it's good",H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Moi je vois un lapin mais
 alors là il est compliqué à
 expliquer (rires).","I see a rabbit but
 then it is complicated to
 explain (laughs).",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Un gros derrière de fourmi.,A big ant's behind.,Ad,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Un papillon avec une fourmi, une grosse tête, des petites mains avec un radar comme les abeilles. Un mélange de fourmi, papillon et abeille.","A butterfly with an ant, a big head, little hands with a radar like bees. A mixture of ant, butterfly and bee.",(A)/Hd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Un mort aux yeux rouges, la bouche ouverte, il a fumé un joint.","A dead man with red eyes, his mouth open, he smoked a joint.",(Hd),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Un animal mort, je sais pas... peut-être une grenouille croisée avec un cul de mouche.","A dead animal, I don't know... maybe a frog crossed with a fly's ass.",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Un scarabée avec des pinces pour se défendre avec un corps de grenouille, il est éclaté, car il manque la partie inférieure du corps et il a des yeux de mouche.","A beetle with claws to defend itself with the body of a frog, it is broken, because the lower part of the body is missing and it has the eyes of a fly.",(Ad)/Sg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Des ailes de papillon.,Butterfly wings.,Ad,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Un papillon.,A butterfly.,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Un papillon avec des ailes de chauve-souris, avec des gueules pour calculer l'altitude.","A butterfly with bat wings, with mouths to calculate altitude.",(A),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Des tripes... je ne sais pas,Guts...I don't know,Anat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Des trucs indiens, un totem avec des plumes.","Indian stuff, a totem with feathers.",Obj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Une fourrure d'animal, mais ils ont retiré la tête. Il reste combien de planches ?","An animal fur, but they removed the head. How many boards are left?",(Ad),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Des têtes d'éléphant, ça doit appartenir à un chasseur.",Elephant heads must belong to a hunter.,Ad,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Il y a des poutres pour tenir les têtes d'éléphants, c'est un chasseur qui les collectionne.","There are beams to hold elephant heads, a hunter collects them.",Obj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Un animal volant mort accroché au-dessus.,A dead flying animal hanging above.,Ad,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Deux tigres, deux lions, deux fauves quoi.","Two tigers, two lions, two wild animals.",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Des tripes.,Guts.,Anat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ils se baladent sur un truc de sang, ils vont à l'apéritif.","They're walking around on something bloody, they're going to an aperitif.",A/Sg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Les boyaux normaux.,Normal hoses.,Anat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Les boyaux fumés parce qu'ils sont verts.,The casings are smoked because they are green.,Anat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Les branchites.,Branchites.,Anat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"C'est le corps d'un alien, car il a 4 poumons.","It's the body of an alien, because it has 4 lungs.",Anat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tête d'animal.,Animal head.,Ad/Anat,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Le truc bleu, c'est de la flotte.",The blue thing is fleet.,Elem,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Le rose, c'est le sang.",Pink is blood.,Sg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Il y a eu une bagarre, mais le corps n'est plus là, le sang est encore frais.","There was a fight, but the body is no longer there, the blood is still fresh.",Sg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Des petites bêtes qui boivent le sang.,Little beasts that drink blood.,A/Sg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Entre les seins il y a quelqu'un qui a marqué son territoire.,Between the breasts there is someone who has marked their territory.,Sex/Anat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Le vert, c'est de l'herbe.",Green is grass.,Bot,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
J’aurais dit plutôt plus ou moins un papillon qui a des trous donc c’est un peu chelou…mais après c’est peut-être parce que c’est symétrique,I would have said more or less a butterfly that has holes so it's a bit weird...but then maybe it's because it's symmetrical,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Sinon, on peut, enfin je peux voir un visage là au centre","Otherwise, we can, finally I can see a face there in the center",Hd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Peut-être on dirait des bonhommes qui lèvent la main,Maybe they look like men raising their hands,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ah, peut-être un nuage mais juste là","Ah, maybe a cloud but right there",Frag,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
On dirait des lapins qui se checkent,They look like rabbits checking each other,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
On dirait un papillon là encore,It looks like a butterfly again,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ah ouais, c’est un peu bizarre mais on dirait une personne découpée à l’envers qui est sur le dos, enfin plutôt sur le ventre","Oh yeah, it’s a bit weird but it looks like a person cut upside down who is on their back, or rather on their stomach",Hd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
On dirait encore un papillon,It still looks like a butterfly,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"A l’endroit, je vois plus un bassin","In the place, I no longer see a pool",Anat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Un peu des bonhommes individuels de chaque côté mais un peu difformes,A few individual figures on each side but a little misshapen,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"On dirait un peu…je sais pas…ah si un éléphant ou plus un mammouth, enfin c’est plus ou moins la même chose…mais ducoup il a pas d’œil, il est déformé","It looks a bit like...I don't know...ah if an elephant or more like a mammoth, well it's more or less the same thing...but suddenly it doesn't have an eye, it's deformed",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Bh là on dirait vraiment un papillon pour le coup…^v^… On dirait qu’il a un visage, des yeux et un nez, enfin je vois","Well, it really looks like a butterfly…^v^… It looks like it has a face, eyes and a nose, well I see",A/Ad,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
On dirait une espèce de guitare dans la forme…v… ou un arbre dans l’autre sens,It looks like a kind of guitar in the shape...v... or a tree in the other direction,Obj/Bot,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Je vois un autre truc mais je ne saurai pas dire quoi…un fruit qu’on aurait découpé mais c’est peu précis,I see something else but I can't say what...a fruit that has been cut but it's not very precise,Alim,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
On dirait un espèce de visage,It looks like a kind of face,Hd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"On dirait un peu des personnages là, le visage et le buste","They look a bit like characters there, the face and the bust",H/Hd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Les trucs là en rose sur le côté on dirait des animaux, des espèces de tigre ou panthère quelque chose comme ça","The things there in pink on the side look like animals, species of tiger or panther something like that",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Le truc en haut on dirait une tête d’insecte mais rapprochée,The thing at the top looks like an insect head but close up,Ad,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Les trucs oranges on dirait un peu des flammes,The orange things look a bit like flames,Elem,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Les trucs verts on dirait un peu des têtes de rhinocéros plus ou moins,"The green things look a bit like rhinoceros heads, more or less.",Ad,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
On dirait qu’il y a un os en plein milieu du truc,It looks like there's a bone right in the middle of it.,Anat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Le truc gris on dirait des poumons,The gray stuff looks like lungs,Anat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"En bleu, on dirait des palmiers","In blue, they look like palm trees",Bot,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"On dirait un visage avec le rose, le tout et les yeux, plus un visage d’animal ducoup","It looks like a face with pink, everything and the eyes, more of an animal face suddenly",Ad,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"On dirait un petit bonhomme avec des ailes en queue de scorpion, super précis","It looks like a little guy with scorpion tail wings, super precise",(H),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Les trucs jaunes on dirait des oiseaux,The yellow things look like birds,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
On dirait un petit peu des petits lapins,They look a little like little rabbits,A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Euuh… Oh, je vois un bonhomme euh… genre vicieux (rires), je sais pas comment t’expliquer, mais genre euh, en mode là c’est ses yeux et… et genre il a un sourire en mode moqueur avec des grandes oreilles ouais","Uuh... Oh, I see a guy uh... kind of vicious (laughs), I don't know how to explain it to you, but like uh, it's his eyes and... and like he has a mocking smile with big ears yeah",Hd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ou alors un insecte, non… si ? Ouais, non je vois ça moi. Même quand je tourne, je le vois mais juste à l’envers en fait (rires).

Je t’avoue j’ai pas… Je la trouve un peu, je sais pas, méchante genre, la pho… l’image, j’allais dire la photo c’est une image. L’image je la trouve méchante ouais, pas agréable, pas… c’est pas la meilleure quoi.","Or maybe an insect, no… yes? Yeah, no I see that myself. Even when I turn, I see it but just upside down in fact (laughs).

I admit, I don't... I find it a bit, I don't know, nasty, like, the photo... the image, I was going to say the photo is an image. I find the image nasty, yeah, not pleasant, not… it’s not the best.",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Oh ! Alors là je vois un petit papillon. 
Mais j’aime bien cette image, fin j’aime bien les couleurs, c’est un peu… fin c’est moins…, c’est plus agréable que la première.
","Oh ! Then I see a little butterfly.
But I like this image, I like the colors, it's a little... well it's less..., it's more pleasant than the first.
",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Alors, je sais pas pourquoi, mais… c’est, je sais pas… Là j’ai l’impression que c’est des pattes, genre des jambes et là un… je sais pas. Alors attends (rires). Moi je le mettrais comme ça. Ouais, là des jambes, genre des cuisses, on dirait des trucs de poulet (rires) et là un papillon, et là je sais pas.","So, I don't know why, but... it's, I don't know... I have the impression that it's paws, like legs and there a... I don't know. So wait (laughs). I would put it like that. Yeah, there are legs, like thighs, they look like chicken things (laughs) and there is a butterfly, and there I don't know.",Ad/Hd/A,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Han ! On dirait deux personnes qui se battent, tête contre tête, genre et le papillon du coup c’est le choc. Et là du coup c’est leurs pattes.","Han! It looks like two people fighting, head to head, like, and the butterfly is shock. And then it’s their paws.",H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"On dirait des animaux. Ou des personnes ? Non, des animaux un peu, je sais pas. Ouais non, des animaux qui se battent. En plus euh, y’a un peu de rouge sur eux, donc on dirait des taches de sang. Ouais.
Beaucoup de violence hein ? (Rires)","They look like animals. Or people? No, a bit of animals, I don't know. Yeah no, animals fighting. Plus uh, there's a little red on them, so they look like blood stains. Yeah.
Lots of violence huh? (Laughs)",A/Frag/sg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"Ouais puis c’est à peu près tout. Ouais. Puis là on dirait même des petites cornes, un peu comme euh… comme des cornes du diable qui se battent.

Ouais. Voilà, c’est à peu près tout je crois. 

Oh j’ai pris une minute de plus ! (Rires)","Yeah, that's about it. Yeah. Then there they even look like little horns, a bit like uh... like the devil's horns fighting.

Yeah. That's about it, I think.

Oh I took another minute! (Laughs)",(Hd)/Symb,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Euh, on dirait un peu deux…, deux hommes qui essayent de porter une charge lourde et là on dirait un nœud papillon. Y’a beaucoup de papillons aussi… ","Um, it looks a bit like two…, two men trying to carry a heavy load and there it looks like a bow tie. There are a lot of butterflies too...",H/Obj/Vet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"Là on dirait des poumons. Alors, pourquoi y’aurait des poumons… c’est une grande question. ",They look like lungs. So why would there be lungs… that’s a big question.,Anat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Mais ouais, on dirait deux hommes qui se font face à face.","But yeah, it looks like two men facing each other.",H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Alors, c’est un peu bizarre ce que je vais dire mais j’ai l’impression un peu que au milieu c’est leur cœur, et que j’sais pas… y’a une euh… y’a un échange qui se fait. ","So, it's a little strange what I'm going to say but I have the impression a little that in the middle it's their heart, and that I don't know... there's an uh... there's an exchange which is done.",Anat,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
